scenario,strategy,pool_size,run,elapsed_ms,matches,consulted_providers
NOIO,SEQUENTIAL,-,1,0.037,7,100
NOIO,SEQUENTIAL,-,2,0.014,7,100
NOIO,SEQUENTIAL,-,3,0.016,7,100
NOIO,SEQUENTIAL,-,4,0.013,7,100
NOIO,SEQUENTIAL,-,5,0.018,7,100
NOIO,FIXED,2,1,1.596,7,100
NOIO,FIXED,2,2,0.684,7,100
NOIO,FIXED,2,3,1.202,7,100
NOIO,FIXED,2,4,0.837,7,100
NOIO,FIXED,2,5,0.804,7,100
NOIO,FIXED,4,1,1.062,7,100
NOIO,FIXED,4,2,1.173,7,100
NOIO,FIXED,4,3,1.383,7,100
NOIO,FIXED,4,4,1.016,7,100
NOIO,FIXED,4,5,0.540,7,100
NOIO,FIXED,8,1,3.631,7,100
NOIO,FIXED,8,2,2.710,7,100
NOIO,FIXED,8,3,2.980,7,100
NOIO,FIXED,8,4,2.691,7,100
NOIO,FIXED,8,5,2.229,7,100
NOIO,VIRTUAL,-,1,2.318,7,100
NOIO,VIRTUAL,-,2,0.722,7,100
NOIO,VIRTUAL,-,3,0.915,7,100
NOIO,VIRTUAL,-,4,0.781,7,100
NOIO,VIRTUAL,-,5,0.848,7,100
IO,SEQUENTIAL,-,1,11048.299,7,100
IO,SEQUENTIAL,-,2,11030.309,7,100
IO,SEQUENTIAL,-,3,11013.471,7,100
IO,SEQUENTIAL,-,4,11065.869,7,100
IO,SEQUENTIAL,-,5,11036.101,7,100
IO,FIXED,2,1,5566.279,7,100
IO,FIXED,2,2,5516.673,7,100
IO,FIXED,2,3,5511.102,7,100
IO,FIXED,2,4,5511.324,7,100
IO,FIXED,2,5,5517.469,7,100
IO,FIXED,4,1,2829.308,7,100
IO,FIXED,4,2,2830.948,7,100
IO,FIXED,4,3,2827.038,7,100
IO,FIXED,4,4,2829.400,7,100
IO,FIXED,4,5,2826.499,7,100
IO,FIXED,8,1,1468.960,7,100
IO,FIXED,8,2,1468.968,7,100
IO,FIXED,8,3,1470.462,7,100
IO,FIXED,8,4,1468.798,7,100
IO,FIXED,8,5,1472.166,7,100
IO,VIRTUAL,-,1,199.505,7,100
IO,VIRTUAL,-,2,214.991,7,100
IO,VIRTUAL,-,3,200.667,7,100
IO,VIRTUAL,-,4,199.506,7,100
IO,VIRTUAL,-,5,211.120,7,100
